# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MMRF_2266_1_BM	-1.100000	2.025000
MMRF_2267_1_BM	-0.100000	1.905000
MMRF_2268_1_BM	-0.231000	0.219000
MMRF_2269_1_BM	-1.102000	1.158000
MMRF_2270_1_BM	-1.098000	0.817000
MMRF_2271_1_BM	-1.046000	1.223000
MMRF_2272_1_BM	-0.100000	1.783000
MMRF_2273_1_BM	-0.100000	1.472000
MMRF_2279_1_BM	-1.032000	1.926000
MMRF_2281_1_BM	-1.119000	0.982000
MMRF_2284_1_BM	-0.258000	1.661000
MMRF_2286_1_BM	-0.266000	1.088000
MMRF_2288_1_BM	-1.107000	1.039000
MMRF_2289_1_BM	-0.827000	1.077000
MMRF_2290_1_BM	-1.150000	1.822000
MMRF_2291_1_BM	-0.645000	1.640000
MMRF_2292_1_BM	-1.043000	1.025000
MMRF_2293_1_BM	-0.516000	1.444000
MMRF_2297_1_BM	-1.057000	0.880000
MMRF_2300_1_BM	-0.513000	1.012000
MMRF_2301_1_BM	-0.961000	1.098000
MMRF_2302_1_BM	-1.005000	2.111000
MMRF_2305_1_BM	-0.100000	0.238000
MMRF_2306_1_BM	-1.014000	1.090000
MMRF_2307_1_BM	-0.632000	0.662000
MMRF_2308_1_BM	-1.063000	1.054000
MMRF_2310_1_BM	-1.117000	0.713000
MMRF_2313_1_BM	-1.081000	2.631000
MMRF_2314_1_BM	-0.998000	2.081000
MMRF_2316_1_BM	-0.905000	0.987000
MMRF_2317_1_BM	-0.694000	0.100000
MMRF_2324_1_BM	-0.949000	1.538000
MMRF_2325_1_BM	-0.385000	0.486000
MMRF_2326_1_BM	-1.091000	1.435000
MMRF_2327_1_BM	-0.499000	0.100000
MMRF_2328_1_BM	-1.007000	0.734000
MMRF_2329_1_BM	-0.970000	1.014000
MMRF_2330_1_BM	-1.097000	1.153000
MMRF_2331_1_BM	-1.092000	0.763000
MMRF_2333_1_BM	-0.100000	1.077000
MMRF_2335_1_BM	-0.245000	1.652000
MMRF_2336_1_BM	-0.714000	0.499000
