# Using amp_thresh=0.10, del_thresh=0.10
Sample	Low	High
MM_cytoscanHD3042018_964_.CytoScanHD_Array.	-1.195000	1.175000
X20170627_MG_MM_Cyto775_.CytoScanHD_Array.	-0.100000	1.751000
X20170704_MG_MM_Cyto790_.CytoScanHD_Array.	-0.100000	0.100000
X20170704_MG_MM_Cyto784_.CytoScanHD_Array.	-1.056000	0.590000
X20170704_MG_MM_Cyto791_.CytoScanHD_Array.	-0.100000	2.480000
MM_cytoscanHD_08282017_822_.CytoScanHD_Array.	-1.349000	2.450000
X20150708_MG_MM_Cyto487_.CytoScanHD_Array.	-1.597000	0.100000
MM_cytoscanHD_08282017_816_.CytoScanHD_Array.	-1.059000	2.138000
X20161004_MG_MM_Cyto648_.CytoScanHD_Array.	-1.120000	1.154000
X20170627_MG_MM_Cyto776_.CytoScanHD_Array.	-0.813000	0.100000
X20170704_MG_MM_Cyto792_.CytoScanHD_Array.	-1.193000	1.283000
X20170704_MG_MM_Cyto793_.CytoScanHD_Array.	-1.141000	1.336000
MM__CytoscanHD_10052018_993_.CytoScanHD_Array.	-1.344000	2.569000
MM_cytoscanHD_11092017_876_.CytoScanHD_Array.	-1.225000	1.894000
X20170605_MG_MM_Cyto765_.CytoScanHD_Array.	-0.100000	2.468000
MM_CytoscanHD_17042018_966_.CytoScanHD_Array.	-1.241000	2.022000
MM_cytoscanHD_19092017_D8_.CytoScanHD_Array.	-0.100000	1.803000
X20170704_MG_MM_Cyto787_.CytoScanHD_Array._2	-1.103000	2.059000
X20170627_MG_MM_Cyto778_.CytoScanHD_Array.	-0.100000	0.100000
X20170605_MG_MM_Cyto767_.CytoScanHD_Array.	-1.244000	2.525000
MM_cytoscanHD_11302017_891_.CytoScanHD_Array.	-1.184000	0.617000
MM_cytoscanHD_11162017_880_.CytoScanHD_Array.	-1.600000	1.424000
X20170717_MG_MM_Cyto794_.CytoScanHD_Array.	-1.024000	0.100000
X20170719_MG_MM_Cyto_D1MM_.CytoScanHD_Array.	-0.352000	1.863000
X20140616_MART_MM_Cyto422_.CytoScanHD_Array.	-0.714000	2.480000
X20140527_MART_MM_Cyto416_.CytoScanHD_Array.	-0.636000	2.304000
MM_cytoscanHD_11302017_887_.CytoScanHD_Array.	-0.100000	2.124000
X20161005_MG_MM_Cyto649_.CytoScanHD_Array.	-1.149000	0.483000
MM__CytoscanHD_10052018_995_.CytoScanHD_Array.	-1.547000	2.438000
X20161110_MG_MM_Cyto693_.CytoScanHD_Array.	-0.100000	1.340000
